APPLICATION_ID,WF_GUID,MAINFRAME_ID,CORRELATION_ID,APPLICATION_NAME,COMBO_DISTR_MAIN_ID,LIFE_CYCLE_STATUS,BUSINESS_GROUP,LINE_OF_BUSINESS,TECH_AREA,TECH_GROUP,APPLICATION_MNEMONIC_DISTRIBUTED_ID,TECHNICAL_DESCRIPTION,TECHNOLOGY_PORTFOLIO,DATA_CLASSIFICATION,DYNAMIC_WEB_SERVICE,INSTALL_TYPE,DEPLOYMENT_TYPE,PCI,PCI_NONEAPPLICABLE_PROCESSTRANSMIT,PCI_NONEAPPLICABLE_STORE,PCI_PRIMARYACCOUNTNUMBER_PROCESSTRANSMIT,PCI_PRIMARYACCOUNTNUMBER_STORE,PCI_TOKENIZEDPRIMARYACCOUNTNUMBER_PROCESSTRANSMIT,PCI_TOKENIZEDPRIMARYACCOUNTNUMBER_STORE,PCI_DOESASSETDETOKENIZEPAN,PCI_FULLTRACKDATA_PROCESSTRANSMIT,PCI_FULLTRACKDATA_STORE,PCI_PERSONALIDENTIFICATIONNUMBER_PROCESSTRANSMIT,PCI_PERSONALIDENTIFICATIONNUMBER_STORE,PCI_DOESPANINCLEARTEXTLOGFILES,FEEDS_SPLUNK,PAA,PAA_HOSTING_TYPE,CLOUD_HOSTED_FLAG,CLOUD_SERVICE_TYPE,ENCRYPTS_DATA_AT_REST,SENDS_DATA_EXTERNALLY
98683,573OZY454I997447PPL46335LQ7ICDO4,,YEIKA4C4T132XAHBGPN9QDVOIYMPPZ,LNVORIYWFL LXKD TAPKGXTSAA ZYUDEF,8EGWS,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHEFT - ENTERPRISE FUNCTIONS TECHNOLOGY,TCOOSSO - TCOO SHARED SERVICES OPERATION,8EGWS,ENTERPRISE EXIT MANAGEMENT SYSTEM IS A .NET BACKEND / ANGULAR FRONTEND APPLICATION HOSTED IN INTERNET INFORMATION SERVICES. USES MICROSOFT SQL SERVER DATABASE FOR STORAGE.,ENTERPRISE SCREENING,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PUBLIC CLOUD,YES,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,YES,SAAS,No,N/A - No data transmitted in/out of Wells Fargo
93414,J70N62I34I597447PPL46335LQ7ICD0B,,VI-120006KR129C41V5P84135DVL3PL181F,LAIVE,8EIV,DEPLOYED,FINANCE,CONTROLLERS,TECHCCIBT - COMMERCIAL CORPORATE AND INVESTMENT BANKING TECHNOLOGY,EFTRFT - ENTERPRISE FUNCTIONS TECH RISK AND FINANCE TECHNOLOGY,8EIV,EAGLE - WEB ENABLED AUTOMATED GENERAL LEDGER ENTRY TOOL. USED TO ENTER FINANCIAL TRANSACTIONS TO THE CORPORATE GENERAL LEDGER SYSTEM.,CORE GL,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,NO,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,Yes,Both - Send/Receive
82657,H5CN22M34I597447PPL46335LQ7ICD9B,,VI-592765K81J874E71301F78CY0209B38F,MINO ARCXSEHHVVN BTKVIMF,8FVE,DEPLOYED,GPL AND WHOLESALE DIGITAL,GPL AND WHOLESALE DIGITAL,TECHEFT - ENTERPRISE FUNCTIONS TECHNOLOGY,CCIBTGPLT - GLOBAL PAYMENTS AND LIQUIDITY TECHNOLOGY,8FVE,FILE TRANSLATION UTILITY (FTU) FULFILLS THE UNIQUE ROLE OF SUPPORTING COMPLEX CUSTOMER REQUIREMENTS WHILE RELIEVING BACK-END SYSTEMS FROM THE BURDEN OF ONE-OFF CUSTOMIZATIONS.,CRITICAL PAYMENTS,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,NO,NO,YES,NO,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
93570,K51N2UI34I597447PPL46335LQ7ICD87,,VI-2A66F5HP4M424AW42N960KC61834D7PF,PRKCWXI,8IPQ,DEPLOYED,FINANCE,CIO WIM TECHNOLOGY,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,EFTRFT - ENTERPRISE FUNCTIONS TECH RISK AND FINANCE TECHNOLOGY,8IPQ,"JAVA WEB APPLICATION WHICH FUNCTIONS AS A REPORTING TOOL. 3 TIERED, CONNECTS TO FYD AND 1RDR DATABASES. THE 1ING (IRISWEB) APPLICATION IS A USER INTERFACE ONLY. NO DATA IS STORED.",CORE GL,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,YES,NO,NO,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,YES,NO SERVICE,No,Both - Send/Receive
91233,7DCNEYI34I597447PPL46335LQ7ICDP4,,VI-53F5C36Q8K8D4B9K31924L07832L417B,NAK RIV MUNPIETSAA,8KHD,DEPLOYED,TECHNOLOGY,CIO WIM TECHNOLOGY,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTINVBLT - INVESTMENT SOLUTIONS BANKING LENDING AND TRUST,8KHD,WFA SS AND WEALTH ONLINE TOOL ACCESSED BY INVESTMENT PROFESSIONALS WITHIN THE DISTRIBUTION CHANNELS (WFA WEALTH) TO CHECK AND LOG INVESTOR SUITABILITY AND QUALIFICATIONS.,WIMT - ALTERNATIVES,INTERNAL USE,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,Yes,TRUE,NO,INTERNAL,NO,NO SERVICE,No,Both - Send/Receive
96492,I0DN6UM34I597447PPL46335LQ7ICD68,,VI-HF8K855225C84FX826204L95690O20467,SIGXS SEXSEL & NATXILOARUTU,8LNQ,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8LNQ,"INTERNAL WEB BASED APPLICATION THAT PROCESSES WRITS AND LEVY REQUESTS COMING FROM INTERNAL AND EXTERNAL LEGAL ENTITIES. THE SYSTEM IS BUILT THE .NET PLATFORM, AND WRITTEN IN C SHARP.",EMPLOYEE - BRANCH BANKING,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,NO,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
96560,59DN6UM34I597447PPL46335LQ7ICDNC,,VI-I348101I037G4E00P82FEP83L58H7488,KDV-JRQCS JHCXNXS WRQMELZWAN (ECR),8MEC,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,DTISSAT - STRATEGIC SERVICES AND ADVANCED TECHNOLOGY,8MEC,DOCUMENT GENERATION DELIVERY AND PRINTING APPLICATION PLATFORM FOR MULTIPLE LOB PROCESSING.,INTELLIGENT CAPTURE DOCUMENT GENERATION AND PRINT & MAIL SERVICES,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,YES,NO,YES,YES,YES,NO,No,NO,NO,NO,NO,,FALSE,NO,INTERNAL,NO,NO SERVICE,No,Both - Send/Receive
90034,IE8N6YM94I597447PPL46335LQ7ICD8C,,VI-754920682K16483IOR6592D266P69DN9,TY TATUEMPBT,8MQN,DEPLOYED,WEALTH & INVESTMENT MANAGEMENT,COMMUNICATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,WIMTINVBLT - INVESTMENT SOLUTIONS BANKING LENDING AND TRUST,8MQN,THIS A THIRD PARTY HOSTED MARKETING APPLICATION ACCESSED VIA A MENU ITEM ON SMARTSTATION OR VIA INFOMAX.,WIMT - QUALITY ADVICE TOOLS,CONFIDENTIAL,NO,EXTERNAL,ON PREMISE (THIRD PARTY),NO,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,TRUE,YES,EXTERNAL,NO,NO SERVICE,,N/A - No data transmitted in/out of Wells Fargo
,51GL1T4Q20C5PA47RN77DPE73QOH12L0,,,VPGBAMPCAZ JAUO TAPKGXTSAA WEIK,8OEWP,BEING ASSEMBLED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8OEWP,"1OCMP (OPERATIONS CASE MANAGEMENT PEGA) IS A CASE MANAGEMENT APPLICATION BUILT ON THE PEGA PLATFORM THAT SUPPORTS COMPLEX, LONG RUNNING OPERATIONAL WORKFLOWS.",INDIA MMR - CLAIMS MGMT,CONFIDENTIAL,NO,INTERNAL,PUBLIC CLOUD,YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
96393,7FCN26M34I597447PPL46335LQ7ICDLB,,VI-6943E41O5LDC4156O27E246U7TQLFE06,VFHSCBHZ JHGMKL J/Z,8OHM,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8OHM,"OFFICIAL CHECK APPLICATION (1OFC) IS USED BY SEVERAL GROUPS IN THE BANK TO CREATE, APPROVE AND PRINT OFFICIAL CHECKS.",MANAGE MY RELATIONSHIP,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,YES,NO,YES,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,,N/A - No data transmitted in/out of Wells Fargo
,06E4694Q20E37A4100ICD4773QOH125D,,YEIKA4C4T132KAHVX0WWQX37S824FA,VNG YEEYVXYM TAPKGXTSAA,8REFM,BEING ASSEMBLED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8REFM,"1RCVM IS FOR HOSTING JAVA BASED MICROSERVICES IN OPEN SHIFT CLOUD ENVIRONMENT. TECHNICALLY, THIS APPLICATION WILL CONTAIN JAVA, MONGO BASED IMPLEMENTATION TO CREATE NEW APIS. 1RCVM ALSO INCLUDES UI COMPONENTS.",RLT COLLECTIONS & RECOVERY,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,NO,NO,YES,YES,NO,YES,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,,N/A - No data transmitted in/out of Wells Fargo
