APPLICATION_ID,WF_GUID,MAINFRAME_ID,CORRELATION_ID,APPLICATION_NAME,COMBO_DISTR_MAIN_ID,LIFE_CYCLE_STATUS,BUSINESS_GROUP,LINE_OF_BUSINESS,TECH_AREA,TECH_GROUP,APPLICATION_MNEMONIC_DISTRIBUTED_ID,TECHNICAL_DESCRIPTION,TECHNOLOGY_PORTFOLIO,DATA_CLASSIFICATION,DYNAMIC_WEB_SERVICE,INSTALL_TYPE,DEPLOYMENT_TYPE,PCI,PCI_NONEAPPLICABLE_PROCESSTRANSMIT,PCI_NONEAPPLICABLE_STORE,PCI_PRIMARYACCOUNTNUMBER_PROCESSTRANSMIT,PCI_PRIMARYACCOUNTNUMBER_STORE,PCI_TOKENIZEDPRIMARYACCOUNTNUMBER_PROCESSTRANSMIT,PCI_TOKENIZEDPRIMARYACCOUNTNUMBER_STORE,PCI_DOESASSETDETOKENIZEPAN,PCI_FULLTRACKDATA_PROCESSTRANSMIT,PCI_FULLTRACKDATA_STORE,PCI_PERSONALIDENTIFICATIONNUMBER_PROCESSTRANSMIT,PCI_PERSONALIDENTIFICATIONNUMBER_STORE,PCI_DOESPANINCLEARTEXTLOGFILES,FEEDS_SPLUNK,PAA,PAA_HOSTING_TYPE,CLOUD_HOSTED_FLAG,CLOUD_SERVICE_TYPE,ENCRYPTS_DATA_AT_REST,SENDS_DATA_EXTERNALLY
99945,0C4OA2I54I997447PPL46335LQ7ICD7D,,YEIKA4C4SLH2WAJGS8VYSIF67TOBYI,IAPU ZUROROPGVVN WRQQRTT,8CDCP,DEPLOYED,CBL - CHANNELS,BRANCH OVERSIGHT & SUPPORT,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOSSO - TCOO SHARED SERVICES OPERATION,8CDCP,"MULTI-TIERED, WEB-BASED APPLICATION ON .NET FRAMEWORK USING MS SQL WITH WEB, APP, DATABASE, AND BATCH COMPONENTS.",CORE GL,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,No,Both - Send/Receive
,JFHNA2054I997447PPL46335LQ7ICDLC,,YEIKA4C4SJRZZAITLAGORWA4EWYJ3P,VNG JONVEVAWBUS JOOWOG JARKBBSWGF ZETFIVLG,8CEMS,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8CEMS,"1CCCS SERVES AS A CENTRALIZED PLATFORM FOR HOSTING JAVA-BASED MICROSERVICES ON CLOUD, SUPPORTING COMMON COLLECTIONS AND SERVICING CAPABILITIES.",CRITICAL PAYMENTS,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,YES,NO,YES,NO,NO,NO,Yes,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,No,Both - Send/Receive
1500,L7FNA6IR4I597447PPL46335LQ7ICDK9,,,JUUDOFLF PDGXTBMWPHTKYN KUG KINSGXUQR,8CKND,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOSSO - TCOO SHARED SERVICES OPERATION,8CKND,CUSTOMER IDENTIFICATION DUE DILIGENCE WILL CENTRALIZE CUSTOMER DATA REVIEW ACTIVITIES INTO OUR CENTER OF EXCELLENCE TO BETTER ADDRESS KEY REGULATORY ISSUES WITH THE CURRENT DATA ENVIRONMENT.,CORE GL,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,YES,NO,YES,YES,NO,NO,No,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
2889,999LA3841432P50142M885F67QOI37K7,,VI-0760EW78O77F4D872914E00U893KE4N8,JOPDIGBWGF YERVAR,8CQXTK,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8CQXTK,"CONTINUITY REPLAY (1CONTR) IS A VENDOR-BASED APPLICATION PROVIDED BY WILMAC, INC. AND IS A WEB USER INTERFACE INTERNALLY HOSTED ON INTERNET INFORMATION SERVICES (IIS) THAT UTILIZES STRUCTURED METADATA STORED IN MICROSOFT SQL DATABASES AND UNSTRUCTURED CAL",MMR - CALL CENTER,RESTRICTED,NO,INTERNAL,ON PREMISE (WELLS FARGO),NO,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,FALSE,NO,MIXED,NO,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
95841,M10NEU434I597447PPL46335LQ7ICD3C,,YEIKA4C4T132KAHVX0WWQX37S824FA,UIEO JANV YEEYRWPBT ZYUDEF,8CT1,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8CT1,"THE NICE CALL RECORDING SYSTEM (1CR1) IS A VENDOR-BASED APPLICATION PROVIDED BY NICE SYSTEMS, INC. THAT RECORDS CONTACT CENTER PHONE CALLS FOR AGENTS.",MMR - CALL CENTER,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,Yes,N/A - No data transmitted in/out of Wells Fargo
98518,5D3O66454I997447PPL46335LQ7ICDO5,,,JSTMOGUSPA,8CUBC,DEPLOYED,PUBLIC AFFAIRS,COMMUNITY IMPACT,TECHEFT - ENTERPRISE FUNCTIONS TECHNOLOGY,EFTPAL - ENTERPRISE FUNCTIONS TECH PUBLIC AFFAIRS AND LEGAL,8CUBC,YOURCAUSE PLEDGE TOOL IS AN ONLINE SYSTEM THAT ALLOWS TEAM MEMBERS TO PLEDGE A DONATION TO A NON-PROFIT OR SCHOOL AS PART OF ANNUAL COMMUNITY SUPPORT CAMPAIGN.,PA CORPORATE RELATIONS TECHNOLOGY,CONFIDENTIAL,NO,EXTERNAL,ON PREMISE (THIRD PARTY),NO,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,No,FALSE,YES,EXTERNAL,NO,NO SERVICE,No,Both - Send/Receive
90178,951N6UI34I597447PPL46335LQ7ICD74,,VI-2E26B4MR61E2437436HA9M8X05175GO1,KAURBHHFQ JANV JEPDEK,8DEM,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTOPSSVC - OPERATIONS AND SERVICING,8DEM,DASHBOARD CALL CENTER IS ALSO KNOWN AS AGENT DESKTOP. THIS APPLICATION ALLOWS WELLS FARGO ADVISORS CALL CENTER AGENTS TO HELP AND SUPPORT CLIENTS EASILY AND EFFICIENTLY.,WIMT - OPS & SERVICING - CONTACT CENTER,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,NO,YES,YES,NO,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
95123,9E1NEU34I597447PPL46335LQ7ICDM0,,VI-38152780SJ3648U7006FG42YSO8050NB,DFCETH - PNVOGKHHRK KEUUTHW,8DFB,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8DFB,ITOP IS A .NET APPLICATION THAT PROVIDES THE FRONT-END INTERFACE FOR AUTO SERVICING USERS THROUGH CONNECTIVITY TO AUTO FINANCE SYSTEM AND SERVICING DATA STORE.,AUTO SERVICING,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,Yes,Both - Send/Receive
2421,,534916184IB6M54J7S18615W6Q7ICD9B,,KIUKSMLF VRFOR YENSEY ZYUDEF,8DUDR,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8DUDR,THIS APPLICATION RECEIVES DISASTER RELIEF REQUESTS FROM ECAR THROUGH KAFKA-BASED MESSAGING AND PROCESSES THOSE REQUESTS.,RLT COLLECTIONS & RECOVERY,PROPRIETARY EXTERNAL,NO,INTERNAL,PRIVATE CLOUD,YES,NO,NO,YES,YES,YES,NO,Yes,NO,NO,NO,NO,,TRUE,YES,INTERNAL,YES,NO SERVICE,Yes,Both - Send/Receive
,,93982U9Q6I4F1E47Q6L5759T78R15C7F,,PRQX TOWXTTPB KXR LXEOPMPCA WRQMELZWAN ZONETBVB,8DZZ,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOSSO - TCOO SHARED SERVICES OPERATION,8DZZ,"THE IRON MOUNTAIN EXCEPTION PROCESSING APPLICATION IS A VENDOR PROVIDED, WEB-BASED BUSINESS APPLICATION USED BY WELLS FARGO STAFF TO REVIEW AND RESOLVE DOCUMENT CAPTURE EXCEPTIONS.",INFORMATION MANAGEMENT UTILITY,RESTRICTED,NO,EXTERNAL,PUBLIC CLOUD,YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,,FALSE,YES,EXTERNAL,NO,SAAS,,Data received from a Third Party
98516,7930664541997447PPL46335LQ7ICDN5,,YEIKA4C4T132KAHUK4HRQXA18Y9P4A,LNVORIYWFL HLNOGTAWBUS WLCDFHYA,8ECMM,DEPLOYED,HUMAN RESOURCES,HR PRODUCTS & TRANSFORMATION,TECHEFT - ENTERPRISE FUNCTIONS TECHNOLOGY,EFTHR - ENTERPRISE FUNCTIONS TECH HUMAN RESOURCES,8ECMM,ENTERPRISE ALLEGATIONS PLATFORM IS A .NET APPLICATION THAT IS TIED TO A PEGA PLATFORM SYSTEM TO TRACK ALLEGATIONS ACROSS MULTIPLE ALLEGATION MANAGEMENT TEAMS.,CONDUCT MANAGEMENT TECHNOLOGY,CONFIDENTIAL,NO,INTERNAL,PRIVATE CLOUD,YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,YES,NO SERVICE,Yes,N/A - No data transmitted in/out of Wells Fargo
96692,6DEN2U0R4I597447PPL46335LQ7ICD4D,,VI-L1FMV0931D84BY2ORHB66AXH489EC31,PNVBA-KMU,8EFW,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHDTI - DIGITAL TECHNOLOGY AND INNOVATION,DTISSAT - STRATEGIC SERVICES AND ADVANCED TECHNOLOGY,8EFW,DOCUMENT MANAGEMENT SERVICES (DMS) PROVIDES FOUNDATIONAL DOCUMENT AND RECORDS MANAGEMENT FOR TEAM MEMBER CREATED BUSINESS CONTENT.,ELECTRONIC SIGNATURE & DOCUMENT COLLABORATION & CUSTOMER COMMUNICATION,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,Yes,N/A - No data transmitted in/out of Wells Fargo
